EGR,phi,P,Tin,T,u,dF,CH4,CO,CO2,H2O
0.25,1.3000000000000005,150000.00000999996,490.0000100000004,1715.576925352373,0.04946226453702019,0.0022390408526480844,6.1130880766049085e-09,0.06306526871235131,0.3517660731777715,0.09959894314572972
0.2,1.3000000000000005,250000.00001000002,490.00001,1806.5384373598306,0.06047605915523317,0.001187870595359567,1.1124826231619127e-08,0.0667480840103895,0.2978349714581733,0.10708740943268594
0.25,1.3000000000000005,300000.0000100001,440.00001000000043,1681.1397720808175,0.028110307150932812,0.0018151586960278836,0.00024374228654031052,0.06111485552494341,0.3540002045870745,0.09881049693123527
0.25,1.3000000000000005,250000.00001000002,490.0000100000004,1716.5789643514768,0.03864716924922855,0.0017798759961745784,5.601724735305587e-05,0.0625406912866084,0.3522399235111744,0.09935442767418083
0.2,1.3000000000000005,300000.00000999996,490.00001,1806.8280652955366,0.05530294134235885,0.0010941248920677841,1.2247869378935756e-06,0.06653093068055876,0.29802718065558964,0.10699811213604417
0.25,1.3000000000000005,350000.00001,490.0000100000004,1717.2255988394968,0.035296727933607074,0.001418946771194986,9.659279396867414e-05,0.062147862392553904,0.35263360830917645,0.09923931629476632
0.25,1.2500000000000004,350000.0000100001,490.0000100000004,1745.8704866648563,0.03812580097272257,0.0012928506569052137,5.5762212754391896e-08,0.052571219919038355,0.36360477403990427,0.09719890974568657
0.25,1.3000000000000005,450000.00001,440.00001000000043,1681.651210909641,0.02614393667790891,0.0013161674622962814,0.00027346243640215376,0.060773940774250836,0.3542906753030007,0.09876294704269353
0.25,1.3000000000000005,350000.00001,440.00001000000043,1681.2978574346575,0.02723388221934364,0.0016161884897167268,0.00026299282983344776,0.060951615922054635,0.35418868571611484,0.09873497540310248
0.15000000000000002,1.3000000000000005,450000.0000100001,490.0000100000002,1899.9288806080428,0.07247717774504364,0.0005977686425655354,1.1682274589687021e-07,0.06925433844259869,0.24360514632941405,0.11418197393022858
0.25,1.3000000000000005,450000.0000100001,490.0000100000004,1717.410409803806,0.033707999178911666,0.0011692095235241193,0.00010327443438424133,0.062017509382671296,0.35270225233712527,0.09925646528746106
0.25,1.3000000000000005,400000.0000100001,490.0000100000004,1717.2893315293973,0.03438186174613449,0.001282949583687729,0.00010280659304650302,0.06211316981471181,0.35262715118988774,0.09926193892254151
0.25,1.2500000000000004,450000.0000100001,490.0000100000004,1746.1407819596743,0.03573205246671565,0.001095027238882485,2.9821167761638095e-06,0.05238485532814834,0.3637518461372015,0.09716736089344827
0.25,1.3000000000000005,400000.0000100001,440.00001000000043,1681.6195160350833,0.026592235874756925,0.0014517453538868091,0.0002696263387987405,0.0608142071619466,0.3542962706477043,0.09873837295315743
0.25,0.7,350000.00000999996,490.00001000000043,1540.251834983344,0.03575098075280653,0.00115752161781479,1.45200337321141e-14,5.73945564024251e-06,0.4000215224188273,0.059291415057546745
0.25,1.2500000000000004,400000.0000099999,490.0000100000004,1745.87459620934,0.036680987958242636,0.001189103904239139,8.350657883622741e-07,0.05251942013819757,0.36363435341378625,0.09717331409310088
0.2,1.3000000000000005,450000.0000100001,440.00001,1770.1885856088347,0.03724852288424982,0.000971367422588924,3.934679733729364e-05,0.06564325264477978,0.2991209976570655,0.10658190220359905
0.2,1.3000000000000005,400000.00000999996,490.00001,1807.1567712182612,0.04996636427285298,0.0009225577100444543,5.320643622230633e-06,0.06625294352952504,0.29825866339351736,0.10691886473234917
0.25,1.3000000000000005,300000.00001,490.0000100000004,1716.854602904536,0.03667222809492851,0.0015826593244875787,8.35833344605189e-05,0.06234032750796597,0.35244440319527665,0.09927408798625623
0.25,1.2500000000000004,400000.0000100002,440.00001,1708.4281664336343,0.028182835160520586,0.0013653307930663128,3.469680870232999e-05,0.05214687509553334,0.3641883512605999,0.09697370007644715
0.2,1.3000000000000005,450000.0000100001,490.00001,1807.09658033876,0.04840391627661548,0.0008522013199738493,9.454296761643769e-06,0.06623500289550376,0.2982200522388176,0.10692957776711026
0.25,1.2500000000000004,450000.0000100001,440.00001,1708.6908066451495,0.027554137350877684,0.0012462110717183558,4.7585894619428545e-05,0.052063039663315,0.36428481704005156,0.09692342061151256
0.2,1.2500000000000004,450000.0000100002,490.0000100000004,1839.207453673262,0.05367945635331843,0.0007557702780546434,1.918065204204782e-10,0.055792233059268566,0.3099713526678358,0.10484377832532757
0.25,1.2500000000000004,450000.0000100001,390.00001,1672.873046723443,0.02110169549649748,0.0014032149193691716,0.0001468511854692692,0.051289006899859386,0.3653502708746004,0.09656583422805498
0.25,0.7,400000.00000999996,490.00001000000043,1540.3010969958113,0.03335264110215013,0.0010898675982594116,2.1801215665465466e-14,5.277130974210385e-06,0.4000233559407214,0.0592896140926005
0.25,1.3000000000000005,450000.0000099999,390.0000099999995,1647.9786863605473,0.020036474272250266,0.001473823858417433,0.000539235773406767,0.0589750493518179,0.3565229209972655,0.09807978824501877
0.25,1.3000000000000005,400000.00000999996,390.0000099999995,1647.86153436188,0.020372405580400554,0.0016321642858948737,0.0005335560405837736,0.059011224103482654,0.3564887343816475,0.09811508051800914
0.25,0.7,300000.00001,490.00001000000043,1540.2455187562996,0.03893737392180481,0.0012353124742771108,1.089586484719095e-15,6.046509342582406e-06,0.4000151971904081,0.05929531409863782
0.25,0.75,400000.00001000013,440.00001000000043,1562.7132839842602,0.029480275609937535,0.001100298440695845,9.037168523676094e-15,7.952961662063613e-06,0.40433993907040633,0.0633666459123799
